system:index,key,.geo
Accipiter_gentilis1,7.147522278571484E10,
Accipiter_gentilis3,5.185757191794031E9,
Accipiter_nisus1,1.0370614570144001E10,
Accipiter_nisus2,3.769370082501138E10,
Accipiter_nisus3,1.009489984040766E10,
Bucephala_clangula2,5.628048330551427E10,
Bucephala_clangula3,2.3409693880109734E10,
Coccyzus_americanus1,0.0,
Coccyzus_americanus2,1.3668192650162672E10,
Coccyzus_americanus3,4.8077938383851776E10,
Contopus_cooperi2,2.3630278477457867E10,
Contopus_cooperi3,3.067403463353013E10,
Cuculus_canorus2,5.498165545441132E10,
Cuculus_canorus3,2.71933550676459E10,
Onychorhynchus_coronatus1,2.088279992973539E10,
Tringa_ochropus2,4.240624706713906E10,
Tringa_ochropus3,4.2328484613814095E10,
Tringa_solitaria2,1.3973348970971973E10,
Tringa_solitaria3,5.589629036102536E10,
Vireo_olivaceus1,4.1378922472529015E10,
Vireo_olivaceus2,3.4274553816997692E10,
